x,y,intensity,ultra,lidar
0,0,34,20,43
0,0,32,20,231
0,0,33,20,231
0,0,31,20,230
0,0,29,20,230
0,4,34,20,231
0,4,32,765,231
0,4,31,20,230
0,4,34,20,230
0,4,31,20,231
0,8,30,20,231
0,8,32,20,231
0,8,33,20,231
0,8,31,20,230
0,8,33,20,230
0,12,30,20,230
0,12,31,765,230
0,12,30,20,229
0,12,32,20,229
0,12,34,20,231
0,16,33,20,231
0,16,33,20,232
0,16,33,20,232
0,16,33,20,231
0,16,30,20,231
0,20,30,20,231
0,20,30,765,231
0,20,32,20,229
0,20,32,20,229
0,20,33,20,229
0,24,30,20,229
0,24,33,20,230
0,24,34,20,230
0,24,36,20,229
0,24,28,20,229
0,28,31,20,231
0,28,34,765,231
0,28,32,20,231
0,28,32,20,231
0,28,32,20,231
0,32,33,20,231
0,32,31,20,232
0,32,30,20,232
0,32,31,20,230
0,32,31,20,230
0,36,29,20,230
0,36,34,20,230
0,36,31,20,230
0,36,29,20,230
0,36,32,20,230
0,40,33,20,230
0,40,32,20,229
0,40,33,20,229
0,40,31,20,229
0,40,34,20,229
0,44,30,20,230
0,44,31,765,230
0,44,31,20,230
0,44,30,20,230
0,44,33,20,229
0,48,30,20,229
0,48,33,20,230
0,48,35,20,230
0,48,32,20,230
0,48,30,20,230
0,52,30,20,228
0,52,33,765,228
0,52,34,20,228
0,52,33,20,228
0,52,33,20,229
0,56,33,20,229
0,56,29,20,229
0,56,31,20,229
0,56,33,20,230
0,56,32,20,230
0,60,33,20,229
0,60,29,20,229
0,60,34,20,229
0,60,30,20,229
0,60,32,20,228
0,64,34,20,228
0,64,31,20,230
0,64,34,20,230
0,64,33,20,230
0,64,32,20,230
0,68,30,20,230
0,68,33,765,230
0,68,32,20,229
0,68,30,20,229
0,68,30,20,228
0,72,31,20,228
0,72,33,20,228
0,72,35,20,228
0,72,30,20,228
0,72,32,20,228
0,76,34,20,228
0,76,32,765,228
0,76,30,20,229
0,76,30,20,229
0,76,31,20,228
0,80,32,20,228
0,80,30,20,227
0,80,33,20,227
0,80,33,20,228
0,80,33,20,228
0,84,31,20,227
0,84,33,20,227
0,84,33,20,227
0,84,29,20,227
0,84,32,20,227
0,88,32,20,227
0,88,33,20,228
0,88,32,20,228
0,88,28,20,227
0,88,35,20,227
0,92,32,20,228
0,92,34,765,228
0,92,32,20,227
0,92,30,20,227
0,92,32,20,226
0,96,30,20,226
0,96,33,20,227
0,96,32,20,227
0,96,33,20,225
0,96,31,20,225
0,100,31,20,227
0,100,32,20,227
0,100,33,20,226
0,100,33,20,226
0,100,33,20,226
0,104,30,20,226
0,104,30,20,225
0,104,30,20,225
0,104,32,20,224
0,104,31,20,224
0,108,29,20,226
0,108,33,765,226
0,108,32,20,225
0,108,32,20,225
0,108,33,20,224
0,112,33,20,224
0,112,33,20,224
0,112,32,20,224
0,112,32,20,224
0,112,34,20,224
0,116,31,20,224
0,116,28,765,224
0,116,32,20,224
0,116,31,20,224
0,116,31,20,223
0,120,32,20,223
0,120,33,20,223
0,120,32,20,223
0,120,32,20,223
0,120,32,20,223
4,120,32,20,223
4,120,35,20,224
4,120,33,20,224
4,120,35,20,222
4,120,31,20,222
4,116,34,20,222
