x,y,intensity,ultra,lidar
0,0,16,21,36447
0,0,17,21,335
0,0,16,21,335
0,0,15,21,335
0,0,17,21,335
0,4,16,21,337
0,4,13,765,337
0,4,14,21,335
0,4,14,21,335
0,4,10,21,335
0,8,16,21,335
0,8,13,21,332
0,8,14,21,332
0,8,13,21,335
0,8,11,21,335
0,12,13,22,337
0,12,12,765,337
0,12,15,22,335
0,12,13,22,335
0,12,13,22,335
0,16,12,25,335
0,16,10,25,334
0,16,14,25,334
0,16,12,25,333
0,16,10,25,333
0,20,13,20,331
0,20,14,765,331
0,20,13,20,330
0,20,11,20,330
0,20,10,20,332
0,24,10,22,332
0,24,14,22,329
0,24,12,22,329
0,24,12,22,330
0,24,12,22,330
0,28,13,21,330
0,28,12,25,330
0,28,12,21,328
0,28,14,21,328
0,28,12,21,327
0,32,11,23,327
0,32,14,23,328
0,32,9,23,328
0,32,12,23,327
0,32,12,23,327
0,36,12,24,329
0,36,11,32,329
0,36,12,24,326
0,36,13,24,326
0,36,10,24,325
0,40,12,23,325
0,40,10,23,325
0,40,13,23,325
0,40,13,23,324
0,40,12,23,324
0,44,13,21,325
0,44,14,35,325
0,44,12,21,323
0,44,10,21,323
0,44,14,21,325
0,48,14,24,325
0,48,13,24,325
0,48,11,24,325
0,48,13,24,325
0,48,12,24,325
0,52,9,23,324
0,52,12,35,324
0,52,10,23,324
0,52,13,23,324
0,52,10,23,326
0,56,12,20,326
0,56,12,20,326
0,56,10,20,326
0,56,12,20,327
0,56,13,20,327
0,60,10,20,326
0,60,12,31,326
0,60,10,20,326
0,60,12,20,326
0,60,14,20,326
0,64,11,26,328
0,64,12,31,328
0,64,13,26,329
0,64,12,26,329
0,64,10,26,330
0,68,11,28,330
0,68,12,28,332
0,68,11,28,332
0,68,11,28,332
0,68,9,28,332
0,72,11,23,331
0,72,9,29,331
0,72,11,23,335
0,72,13,23,335
0,72,13,23,333
0,76,12,32,333
0,76,11,32,338
0,76,11,32,338
0,76,9,32,338
0,76,14,32,338
0,80,11,24,337
0,80,10,26,337
0,80,13,24,341
0,80,12,24,341
0,80,9,24,341
0,84,12,25,341
0,84,10,25,343
0,84,12,25,343
0,84,11,25,343
0,84,12,25,343
0,88,14,25,344
0,88,13,44,344
0,88,12,25,346
0,88,11,25,346
0,88,10,25,347
0,92,12,26,347
0,92,11,26,350
0,92,10,26,350
0,92,12,26,353
0,92,15,26,353
0,96,11,25,349
0,96,10,31,349
0,96,11,25,353
0,96,11,25,353
0,96,11,25,352
0,100,12,25,352
0,100,13,25,352
0,100,12,25,352
0,100,11,25,351
0,100,11,25,351
0,104,10,27,352
0,104,12,765,352
0,104,9,27,352
0,104,13,27,352
0,104,10,27,353
0,108,11,28,353
0,108,8,28,352
0,108,11,28,352
0,108,14,28,351
0,108,12,28,351
0,112,10,20,354
0,112,8,765,354
0,112,11,20,353
0,112,11,20,353
0,112,11,20,351
0,116,8,20,351
0,116,8,20,352
0,116,11,20,352
0,116,11,20,354
0,116,7,20,354
0,120,11,20,352
0,120,11,765,352
0,120,8,20,353
0,120,11,20,353
0,120,11,20,353
0,124,11,29,353
0,124,8,29,355
0,124,10,29,355
0,124,10,29,352
0,124,10,29,352
0,128,9,26,352
0,128,9,765,352
0,128,8,26,355
0,128,10,26,355
0,128,10,26,355
0,132,7,30,355
0,132,9,30,353
0,132,10,30,353
0,132,8,30,354
0,132,9,30,354
0,136,8,20,355
0,136,10,765,355
0,136,12,20,355
0,136,10,20,355
0,136,10,20,351
0,140,8,30,351
0,140,9,30,353
0,140,8,30,353
0,140,8,30,353
0,140,8,30,353
0,144,9,27,350
0,144,10,765,350
0,144,9,27,352
0,144,9,27,352
0,144,10,27,353
0,148,8,26,353
0,148,8,26,355
0,148,8,26,355
0,148,7,26,355
0,148,9,26,355
0,152,6,27,353
0,152,8,29,353
0,152,8,27,354
0,152,7,27,354
0,152,9,27,354
0,156,13,29,354
0,156,10,29,356
0,156,10,29,356
0,156,7,29,357
0,156,9,29,357
0,160,8,30,357
0,160,10,765,357
0,160,9,30,362
0,160,9,30,362
0,160,9,30,359
4,160,7,29,359
4,160,11,29,356
4,160,6,29,356
4,160,7,29,354
4,160,6,29,354
4,156,9,29,355
4,156,10,30,355
4,156,7,29,352
4,156,9,29,352
4,156,7,29,349
4,152,9,28,349
4,152,9,28,348
4,152,8,28,348
4,152,7,28,347
4,152,8,28,347
4,148,11,27,347
4,148,9,28,347
4,148,9,27,348
4,148,10,27,348
4,148,8,27,346
4,144,9,27,346
4,144,8,27,344
4,144,11,27,344
4,144,12,27,346
4,144,9,27,346
4,140,8,20,346
4,140,8,765,346
4,140,11,20,345
4,140,9,20,345
4,140,12,20,347
4,136,10,32,347
4,136,10,32,347
4,136,10,32,347
4,136,7,32,346
4,136,8,32,346
4,132,10,27,345
4,132,12,28,345
4,132,10,27,343
4,132,11,27,343
4,132,10,27,342
4,128,10,20,342
4,128,9,20,345
4,128,9,20,345
4,128,11,20,346
4,128,10,20,346
4,124,12,20,344
4,124,10,765,344
4,124,11,20,344
4,124,10,20,344
4,124,12,20,345
4,120,11,20,345
4,120,11,20,344
4,120,13,20,344
4,120,11,20,342
4,120,10,20,342
4,116,11,28,344
4,116,11,765,344
4,116,10,28,344
4,116,10,28,344
4,116,12,28,340
4,112,11,26,340
4,112,11,26,342
4,112,11,26,342
4,112,10,26,344
4,112,11,26,344
4,108,12,26,343
4,108,12,36,343
4,108,15,26,342
4,108,11,26,342
4,108,10,26,340
4,104,11,20,340
4,104,10,20,340
4,104,12,20,340
4,104,11,20,343
4,104,13,20,343
4,100,11,20,341
4,100,10,765,341
4,100,11,20,339
4,100,11,20,339
4,100,13,20,339
4,96,12,20,339
4,96,14,20,337
4,96,13,20,337
4,96,13,20,335
4,96,11,20,335
4,92,13,20,337
4,92,12,29,337
4,92,13,20,332
4,92,12,20,332
4,92,13,20,333
4,88,12,20,333
4,88,12,20,329
4,88,13,20,329
4,88,13,20,329
4,88,12,20,329
4,84,14,20,329
4,84,14,29,329
4,84,13,20,323
4,84,12,20,323
4,84,11,20,323
4,80,13,20,323
4,80,12,20,321
4,80,14,20,321
4,80,13,20,319
4,80,12,20,319
4,76,12,20,322
4,76,14,765,322
4,76,12,20,315
4,76,12,20,315
4,76,16,20,315
4,72,12,20,315
4,72,13,20,310
4,72,17,20,310
4,72,13,20,311
4,72,9,20,311
4,68,13,20,314
4,68,12,28,314
4,68,14,20,308
4,68,12,20,308
4,68,12,20,306
4,64,14,26,306
4,64,12,26,307
4,64,14,26,307
4,64,13,26,305
4,64,14,26,305
4,60,13,20,309
4,60,14,31,309
4,60,12,20,306
4,60,12,20,306
4,60,13,20,305
4,56,15,24,305
4,56,14,24,303
4,56,12,24,303
