x,y,intensity,ultra,lidar
0,0,32,20,36447
0,0,33,20,226
0,0,33,20,226
0,0,34,20,227
0,0,31,20,227
0,4,32,20,227
0,4,30,765,227
0,4,33,20,228
0,4,33,20,228
0,4,33,20,227
0,8,31,20,227
0,8,32,20,228
0,8,32,20,228
0,8,32,20,227
0,8,32,20,227
0,12,32,20,227
0,12,31,765,227
0,12,31,20,228
0,12,32,20,228
0,12,32,20,227
0,16,34,20,227
0,16,32,20,227
0,16,29,20,227
0,16,34,20,227
0,16,32,20,227
0,20,34,20,226
0,20,31,20,226
0,20,34,20,227
0,20,33,20,227
0,20,32,20,228
0,24,34,20,228
0,24,33,20,227
0,24,33,20,227
0,24,34,20,227
0,24,30,20,227
0,28,32,20,226
0,28,32,765,226
0,28,31,20,227
0,28,34,20,227
0,28,32,20,227
0,32,31,20,227
0,32,32,20,227
0,32,30,20,227
0,32,33,20,226
0,32,33,20,226
0,36,30,20,226
0,36,32,20,226
0,36,36,20,226
0,36,32,20,226
0,36,31,20,226
0,40,32,20,226
0,40,30,20,226
0,40,32,20,226
0,40,31,20,227
0,40,32,20,227
0,44,32,20,225
0,44,33,765,225
0,44,32,20,226
0,44,32,20,226
0,44,32,20,225
0,48,35,20,225
0,48,33,20,225
0,48,31,20,225
0,48,34,20,226
0,48,32,20,226
0,52,32,20,226
0,52,31,20,226
0,52,32,20,225
0,52,31,20,225
0,52,33,20,225
0,56,32,21,225
0,56,33,21,224
0,56,31,21,224
0,56,32,21,226
0,56,35,21,226
0,60,33,21,225
0,60,34,22,225
0,60,30,21,225
0,60,34,20,225
0,60,30,21,226
0,64,32,22,226
0,64,33,22,225
0,64,33,22,225
0,64,35,22,225
0,64,31,22,225
0,68,29,21,226
0,68,35,765,226
0,68,33,21,224
0,68,34,21,224
0,68,30,21,224
0,72,34,21,224
0,72,29,21,224
0,72,32,21,224
0,72,33,21,223
0,72,34,21,223
0,76,38,21,224
0,76,34,22,224
0,76,33,21,224
0,76,34,21,224
0,76,32,21,223
0,80,31,21,223
0,80,33,21,224
0,80,31,21,224
0,80,32,21,223
0,80,34,21,223
0,84,30,20,222
0,84,33,20,222
0,84,31,20,223
0,84,34,20,223
0,84,33,20,224
0,88,31,20,224
0,88,34,20,224
0,88,35,20,224
0,88,33,20,224
0,88,31,20,224
0,92,34,20,224
0,92,35,20,224
0,92,35,20,223
0,92,35,20,223
0,92,34,20,223
0,96,33,20,223
0,96,31,20,223
0,96,32,20,223
0,96,32,20,222
0,96,34,20,222
0,100,30,20,225
0,100,37,20,225
0,100,35,20,223
0,100,32,20,223
0,100,33,20,224
0,104,34,20,224
0,104,33,20,223
0,104,34,20,223
0,104,29,20,222
0,104,31,20,222
0,108,30,20,223
0,108,31,20,223
0,108,36,20,223
0,108,35,20,223
0,108,31,20,222
0,112,33,20,222
0,112,32,20,222
0,112,32,20,222
0,112,31,20,222
0,112,32,20,221
0,116,31,20,221
0,116,33,20,221
0,116,30,20,221
0,116,34,20,221
0,116,35,20,221
0,120,32,20,220
0,120,33,765,220
0,120,31,20,222
0,120,32,20,222
0,120,34,20,221
4,120,32,20,221
4,120,34,20,222
4,120,34,20,222
4,120,34,20,222
4,120,34,20,222
4,116,34,20,221
4,116,33,20,221
4,116,35,20,222
4,116,32,20,222
4,116,35,20,222
4,112,33,20,222
4,112,34,20,222
4,112,33,20,222
4,112,30,20,221
4,112,35,20,221
4,108,31,20,221
4,108,35,20,221
4,108,33,20,221
4,108,36,20,221
4,108,33,20,222
4,104,34,20,222
4,104,34,20,221
4,104,31,20,221
4,104,33,20,223
4,104,34,20,223
4,100,33,20,220
4,100,32,21,220
4,100,33,20,222
4,100,33,20,222
4,100,36,20,220
4,96,30,20,220
4,96,35,20,220
4,96,34,20,222
4,96,35,20,222
4,96,33,20,221
4,92,34,23,221
4,92,34,23,221
4,92,32,23,221
4,92,32,23,223
4,92,34,23,223
4,88,31,23,221
4,88,32,765,221
4,88,34,23,221
4,88,34,23,221
4,88,32,23,220
4,84,32,22,220
4,84,31,22,222
4,84,31,22,222
4,84,36,22,220
4,84,31,22,220
4,80,32,21,221
4,80,33,765,221
4,80,30,21,221
4,80,34,21,221
4,80,31,21,221
4,76,34,22,221
4,76,34,22,222
4,76,34,22,222
4,76,31,22,220
4,76,34,22,220
4,72,34,22,221
4,72,36,24,221
4,72,35,22,220
4,72,33,22,220
4,72,31,22,220
4,68,33,21,220
4,68,36,21,220
4,68,32,21,220
4,68,35,21,219
4,68,34,21,219
4,64,34,21,219
4,64,31,765,219
4,64,32,21,219
4,64,34,21,219
4,64,35,21,220
4,60,33,21,220
4,60,34,21,219
4,60,33,21,219
4,60,33,21,220
4,60,35,21,220
4,56,32,22,220
4,56,35,23,220
4,56,32,22,219
4,56,31,22,219
4,56,36,22,219
4,52,33,24,219
4,52,31,24,221
4,52,31,24,221
4,52,33,24,220
4,52,33,24,220
4,48,34,20,220
4,48,33,765,220
4,48,34,20,222
4,48,31,20,222
4,48,35,20,221
4,44,34,20,221
4,44,35,20,220
4,44,32,20,220
4,44,34,20,220
4,44,36,20,220
4,40,36,20,221
4,40,30,765,221
4,40,34,20,221
4,40,32,20,221
4,40,30,20,221
4,36,32,20,221
4,36,35,20,221
4,36,34,20,221
4,36,33,20,221
4,36,35,20,221
4,32,34,20,222
4,32,33,20,222
4,32,35,20,222
4,32,31,20,222
4,32,35,20,222
4,28,35,20,222
4,28,33,20,222
4,28,32,20,222
4,28,36,20,222
4,28,32,20,222
4,24,33,20,220
4,24,34,765,220
4,24,34,20,221
4,24,33,20,221
4,24,32,20,222
4,20,31,20,222
4,20,32,20,222
4,20,34,20,222
4,20,33,20,222
4,20,32,20,222
4,16,32,20,222
4,16,35,20,222
4,16,33,20,221
4,16,33,20,221
4,16,34,20,221
4,12,32,20,221
4,12,35,20,224
4,12,35,20,224
4,12,34,20,223
4,12,31,20,223
4,8,34,20,222
4,8,28,765,222
4,8,31,20,223
4,8,31,20,223
4,8,32,20,223
4,4,33,20,223
4,4,32,20,224
4,4,32,20,224
4,4,32,20,222
4,4,34,20,222
4,0,33,20,223
4,0,33,21,223
4,0,32,20,224
4,0,32,20,224
4,0,30,20,223
8,0,32,20,223
8,0,32,20,223
8,0,34,20,223
8,0,33,20,222
8,0,35,20,222
8,4,37,20,223
8,4,35,765,223
8,4,30,20,223
8,4,34,20,223
8,4,34,20,224
8,8,34,20,224
8,8,32,20,222
8,8,35,20,222
8,8,32,20,221
8,8,33,20,221
8,12,33,20,223
8,12,34,765,223
8,12,30,20,224
8,12,33,20,224
8,12,33,20,223
8,16,34,20,223
8,16,32,20,222
8,16,32,20,222
8,16,36,20,223
8,16,33,20,223
8,20,32,20,222
8,20,33,765,222
8,20,33,20,223
8,20,33,20,223
8,20,34,20,221
8,24,32,20,221
8,24,28,20,221
8,24,31,20,221
8,24,33,20,221
8,24,34,20,222
8,28,32,20,222
8,28,32,20,220
8,28,35,20,220
8,28,34,20,221
8,28,34,20,221
8,32,33,20,221
8,32,32,20,221
8,32,32,20,221
8,32,33,20,221
8,32,31,20,222
8,36,33,20,222
8,36,33,20,220
8,36,32,20,220
