x,y,intensity,ultra,lidar
4,48,6,20,699
4,48,4,20,699
4,48,9,20,704
4,48,5,20,704
4,44,7,92,704
4,44,5,93,704
4,44,10,92,694
4,44,7,92,694
4,44,8,92,702
4,40,10,22,702
4,40,7,23,708
4,40,7,22,708
4,40,10,22,699
4,40,6,23,699
4,36,11,22,707
4,36,9,21,707
4,36,9,22,729
4,36,7,22,729
4,36,8,22,728
4,32,7,20,728
4,32,6,20,749
4,32,9,20,749
4,32,8,20,753
4,32,7,20,753
4,28,8,20,756
4,28,10,20,756
4,28,7,20,773
4,28,7,20,773
4,28,9,20,774
4,24,10,20,774
4,24,10,20,800
4,24,8,20,800
4,24,9,20,800
4,24,10,20,800
4,20,10,20,804
4,20,10,20,804
4,20,9,20,825
4,20,12,20,825
4,20,8,20,826
4,16,9,23,826
4,16,12,23,852
4,16,14,23,852
4,16,8,23,852
4,16,11,23,852
4,12,10,22,852
4,12,10,20,852
4,12,7,21,868
4,12,11,22,868
4,12,11,22,867
4,8,8,20,867
4,8,9,20,887
4,8,13,20,887
4,8,12,20,882
4,8,9,20,882
4,4,10,22,883
4,4,12,20,883
4,4,11,22,899
4,4,11,22,899
4,4,12,22,901
4,0,12,20,901
4,0,12,20,906
4,0,14,20,906
4,0,13,20,909
4,0,8,20,909
8,0,11,21,904
8,0,11,20,904
8,0,13,21,854
8,0,13,21,854
8,0,12,21,857
8,4,10,22,857
8,4,8,22,824
8,4,15,22,824
8,4,12,22,827
8,4,11,22,827
8,8,13,20,832
8,8,9,20,832
8,8,10,20,803
8,8,11,20,803
8,8,11,20,806
8,12,9,21,806
8,12,10,21,773
8,12,11,21,773
8,12,12,21,776
8,12,10,21,776
8,16,9,23,780
8,16,10,21,780
8,16,11,21,780
8,16,10,23,732
8,16,10,23,732
8,20,7,20,736
8,20,8,20,736
8,20,11,20,686
8,20,8,20,686
8,20,10,20,692
8,24,8,20,692
8,24,12,20,644
8,24,10,20,644
8,24,9,20,658
8,24,9,20,658
8,28,8,20,657
8,28,8,20,657
8,28,10,20,617
8,28,10,20,617
8,28,9,20,617
8,32,9,20,617
8,32,9,20,584
8,32,9,20,584
8,32,7,20,587
8,32,9,20,587
8,36,9,22,589
8,36,8,21,589
8,36,8,22,568
8,36,10,22,568
8,36,10,22,576
8,40,10,20,576
8,40,10,20,560
8,40,9,20,560
8,40,10,20,555
8,40,9,20,555
8,44,9,29,560
8,44,8,765,560
8,44,8,29,547
8,44,9,93,547
8,44,10,93,549
8,48,9,20,549
8,48,6,20,554
8,48,9,20,554
8,48,7,20,551
8,48,8,20,551
8,52,14,20,557
8,52,11,765,557
8,52,7,20,564
8,52,9,20,564
8,52,8,20,564
8,56,8,20,564
8,56,7,20,584
8,56,7,20,584
8,56,9,20,585
8,56,9,20,585
8,60,9,20,585
8,60,9,765,585
8,60,10,20,612
8,60,7,20,612
8,60,7,20,611
8,64,7,20,611
8,64,8,20,653
8,64,8,20,653
8,64,6,20,653
8,64,9,20,653
8,68,9,20,652
8,68,9,765,652
8,68,7,20,706
8,68,8,20,706
8,68,8,20,702
8,72,8,20,702
8,72,6,20,758
8,72,9,20,758
8,72,7,20,760
8,72,7,20,760
8,76,9,20,763
8,76,9,765,763
8,76,8,20,806
8,76,7,20,806
8,76,9,20,818
8,80,7,20,818
8,80,8,20,856
8,80,7,20,856
8,80,10,20,854
8,80,9,20,854
8,84,6,20,862
8,84,8,765,862
8,84,8,20,889
8,84,7,20,889
8,84,7,20,894
8,88,5,20,894
8,88,7,20,917
8,88,8,20,917
8,88,6,20,917
8,88,7,20,917
8,92,5,20,922
8,92,6,765,922
8,92,7,20,940
8,92,8,20,940
8,92,8,20,941
8,96,6,93,941
8,96,8,93,949
8,96,6,93,949
8,96,5,93,957
8,96,8,93,957
8,100,5,33,951
8,100,6,765,951
8,100,5,33,960
8,100,7,33,960
8,100,6,33,966
8,104,7,20,966
8,104,6,20,965
8,104,8,20,965
8,104,7,20,963
8,104,7,20,963
8,108,5,20,965
8,108,8,20,965
8,108,6,20,964
8,108,6,20,964
8,108,3,20,968
8,112,5,93,968
8,112,6,93,971
8,112,6,93,971
8,112,8,93,969
8,112,6,93,969
8,116,5,93,970
8,116,4,93,970
8,116,6,93,966
8,116,5,93,966
8,116,6,93,967
8,120,4,23,967
8,120,5,92,967
8,120,7,93,967
8,120,3,93,969
8,120,5,93,969
8,124,6,34,971
8,124,5,20,971
8,124,5,34,971
8,124,5,34,971
8,124,8,34,971
8,128,5,92,971
8,128,4,92,975
8,128,4,92,975
8,128,4,92,971
8,128,5,92,971
8,132,6,92,971
8,132,6,92,971
8,132,5,92,969
8,132,5,92,969
8,132,5,92,971
8,136,7,92,971
8,136,5,92,972
8,136,6,92,972
8,136,4,92,968
8,136,3,92,968
8,140,4,92,972
8,140,5,93,972
8,140,7,92,972
8,140,4,92,972
8,140,5,92,971
8,144,5,92,971
8,144,5,92,971
8,144,4,92,971
8,144,4,92,970
8,144,3,92,970
8,148,4,92,972
8,148,5,93,972
8,148,5,92,969
8,148,6,92,969
8,148,5,92,968
8,152,6,92,968
8,152,6,92,968
8,152,5,92,968
8,152,6,92,970
8,152,5,92,970
8,156,4,92,967
8,156,5,94,967
8,156,3,92,969
