x,y,intensity,ultra,lidar
0,0,15,23,380
0,0,16,23,389
0,0,15,23,389
0,0,18,23,390
0,0,17,23,390
0,4,17,23,387
0,4,14,765,387
0,4,16,23,393
0,4,16,23,393
0,4,16,23,392
0,8,15,28,392
0,8,14,28,389
0,8,14,28,389
0,8,14,28,391
0,8,13,26,391
0,12,14,25,391
0,12,16,765,391
0,12,15,25,389
0,12,15,25,389
0,12,13,25,388
0,16,16,25,388
0,16,15,25,388
0,16,16,26,388
0,16,14,26,392
0,16,14,26,392
0,20,13,25,389
0,20,17,765,389
0,20,13,25,387
0,20,15,25,387
0,20,16,25,388
0,24,11,26,388
0,24,13,26,390
0,24,11,26,390
0,24,11,25,388
0,24,12,25,388
0,28,13,33,389
0,28,13,765,389
0,28,12,33,387
0,28,13,33,387
0,28,13,33,388
0,32,12,24,388
0,32,12,24,387
0,32,15,24,387
0,32,12,24,387
0,32,12,24,387
0,36,12,27,387
0,36,13,23,387
0,36,12,27,385
0,36,14,27,385
0,36,15,27,387
0,40,11,24,387
0,40,13,24,387
0,40,12,24,387
0,40,12,24,386
0,40,14,24,386
0,44,13,34,386
0,44,12,765,386
0,44,14,34,385
0,44,14,34,385
0,44,12,34,385
0,48,11,23,385
0,48,11,23,384
0,48,11,23,384
0,48,11,23,385
0,48,11,23,385
0,52,13,26,385
0,52,11,21,385
0,52,14,26,381
0,52,12,26,381
0,52,14,26,384
0,56,13,27,384
0,56,12,27,381
0,56,11,27,381
0,56,14,27,384
0,56,10,27,384
0,60,16,34,383
0,60,15,765,383
0,60,17,34,380
0,60,11,34,380
0,60,12,34,380
0,64,10,33,382
0,64,12,765,382
0,64,13,33,381
0,64,13,33,381
0,64,11,33,382
0,68,12,23,382
0,68,12,23,382
0,68,9,23,382
0,68,11,23,380
0,68,13,23,380
0,72,15,23,381
0,72,14,765,381
0,72,13,23,381
0,72,11,23,381
0,72,11,23,382
0,76,13,23,382
0,76,11,23,380
0,76,12,23,380
0,76,15,23,383
0,76,11,23,383
0,80,13,24,381
0,80,12,765,381
0,80,10,23,381
0,80,15,24,381
0,80,13,24,382
0,84,10,24,382
0,84,11,24,380
0,84,10,25,380
0,84,11,24,380
0,84,11,24,380
0,88,13,28,380
0,88,10,765,380
0,88,13,28,379
0,88,13,28,379
0,88,11,28,378
0,92,11,34,378
0,92,11,34,377
0,92,12,34,377
0,92,11,34,378
0,92,12,34,378
0,96,15,33,381
0,96,12,35,381
0,96,9,33,378
0,96,12,33,378
0,96,11,33,378
0,100,10,22,379
0,100,12,765,379
0,100,11,23,379
0,100,11,22,379
0,100,10,22,378
0,104,10,22,378
0,104,14,22,378
0,104,12,22,378
0,104,9,22,378
0,104,12,22,378
0,108,13,22,378
0,108,10,765,378
0,108,11,22,378
0,108,13,22,378
0,108,11,22,376
0,112,10,22,376
0,112,14,22,377
0,112,12,22,377
0,112,12,22,377
0,112,14,22,377
0,116,11,22,376
0,116,12,765,376
0,116,12,22,375
0,116,10,22,375
0,116,12,22,374
0,120,11,22,374
0,120,11,22,375
0,120,15,22,375
0,120,13,22,376
0,120,11,22,376
0,124,15,23,377
0,124,12,765,377
0,124,12,23,375
0,124,8,23,375
0,124,12,23,377
0,128,10,33,377
0,128,10,33,376
0,128,11,33,376
0,128,14,33,376
0,128,12,33,376
0,132,13,33,375
0,132,9,765,375
0,132,12,33,375
0,132,14,33,375
0,132,10,33,378
0,136,7,33,378
0,136,11,33,374
0,136,11,33,374
0,136,11,33,376
0,136,9,33,376
0,140,11,23,376
0,140,12,765,376
0,140,10,23,374
0,140,11,23,374
0,140,13,23,373
0,144,10,33,373
0,144,9,23,374
0,144,8,23,374
0,144,11,23,376
0,144,9,33,376
0,148,12,33,377
0,148,12,765,377
0,148,8,33,376
0,148,13,33,376
0,148,11,33,376
0,152,13,33,376
0,152,12,33,376
0,152,7,33,376
0,152,7,33,376
0,152,11,33,376
0,156,9,33,378
0,156,10,765,378
0,156,7,33,377
0,156,10,33,377
0,156,9,33,376
0,160,8,32,376
0,160,10,32,379
0,160,9,32,379
0,160,9,32,382
0,160,11,32,382
4,160,12,32,379
4,160,8,765,379
4,160,11,32,379
4,160,11,32,379
4,160,10,32,379
4,156,11,23,379
4,156,13,23,377
4,156,9,23,377
4,156,10,23,376
4,156,10,23,376
4,152,8,23,377
4,152,9,765,377
4,152,10,23,375
4,152,10,23,375
4,152,10,23,373
4,148,12,23,373
4,148,10,23,374
4,148,11,23,374
4,148,9,23,373
4,148,13,23,373
4,144,12,26,374
4,144,10,765,374
4,144,12,26,373
4,144,9,26,373
4,144,8,26,372
4,140,9,32,372
4,140,12,32,371
4,140,11,32,371
4,140,12,32,374
4,140,13,32,374
4,136,10,33,372
4,136,13,765,372
4,136,12,33,371
4,136,10,33,371
4,136,10,33,371
4,132,10,33,371
4,132,13,33,372
4,132,12,33,372
4,132,12,33,370
4,132,12,33,370
4,128,12,33,373
4,128,12,765,373
4,128,11,33,374
4,128,11,33,374
4,128,12,33,373
4,124,11,33,373
4,124,12,33,373
4,124,11,33,373
4,124,12,33,371
4,124,11,33,371
4,120,10,33,375
4,120,12,765,375
4,120,9,33,369
4,120,12,33,369
4,120,10,33,371
4,116,13,33,371
4,116,10,33,374
4,116,11,33,374
4,116,14,33,373
4,116,13,33,373
4,112,13,24,374
4,112,11,765,374
4,112,10,24,373
4,112,11,24,373
4,112,12,24,374
4,108,11,24,374
4,108,12,24,374
4,108,13,24,374
4,108,11,24,373
4,108,12,24,373
4,104,12,33,373
4,104,12,765,373
4,104,12,33,373
4,104,11,33,373
4,104,11,33,373
4,100,11,33,373
4,100,13,33,375
4,100,12,33,375
4,100,12,33,373
4,100,10,33,373
4,96,12,27,374
4,96,13,765,374
4,96,13,27,373
4,96,14,27,373
4,96,13,27,373
4,92,10,33,373
4,92,12,33,372
4,92,11,33,372
4,92,11,33,373
4,92,10,33,373
4,88,11,24,375
4,88,14,765,375
4,88,12,24,374
4,88,10,24,374
4,88,12,24,374
4,84,11,26,374
4,84,10,26,373
4,84,12,26,373
4,84,12,26,373
4,84,15,26,373
4,80,12,23,374
4,80,11,765,374
4,80,11,23,373
4,80,12,23,373
4,80,12,23,372
4,76,12,22,372
4,76,12,23,372
4,76,11,22,372
4,76,12,23,375
4,76,12,23,375
4,72,13,22,375
4,72,15,765,375
4,72,12,22,374
4,72,13,22,374
4,72,13,22,374
4,68,11,22,374
4,68,13,22,374
4,68,13,22,374
4,68,12,22,375
4,68,12,22,375
4,64,9,33,374
4,64,12,765,374
4,64,11,33,374
4,64,12,33,374
4,64,13,33,374
4,60,14,34,374
4,60,10,34,373
4,60,12,34,373
4,60,14,34,376
4,60,14,34,376
4,56,10,25,376
4,56,11,765,376
4,56,11,25,376
4,56,13,25,376
4,56,12,25,376
4,52,11,23,376
4,52,14,23,377
4,52,16,23,377
4,52,12,23,378
4,52,14,23,378
4,48,11,24,377
4,48,15,20,377
4,48,14,24,379
4,48,12,24,379
4,48,12,24,377
4,44,12,34,377
4,44,13,24,378
4,44,12,24,378
4,44,10,24,380
4,44,12,24,380
4,40,15,34,380
4,40,13,765,380
4,40,11,34,379
4,40,13,34,379
4,40,17,34,379
4,36,13,23,379
4,36,14,23,380
4,36,14,23,380
4,36,12,23,380
4,36,13,23,380
4,32,12,26,383
4,32,17,21,383
4,32,13,26,383
4,32,12,26,383
4,32,11,26,383
4,28,12,23,383
4,28,13,23,383
4,28,14,23,383
4,28,13,23,385
4,28,13,23,385
4,24,14,24,383
4,24,16,765,383
4,24,13,24,384
4,24,12,24,384
4,24,14,24,384
4,20,13,32,384
4,20,17,32,387
4,20,13,32,387
4,20,11,32,387
4,20,13,32,387
4,16,17,24,384
4,16,9,765,384
4,16,16,24,387
4,16,14,24,387
4,16,16,24,388
4,12,15,29,388
4,12,14,29,386
4,12,15,29,386
4,12,15,29,387
4,12,14,29,387
4,8,19,23,387
4,8,15,765,387
4,8,16,23,386
4,8,15,23,386
4,8,17,23,386
4,4,15,27,386
4,4,17,27,385
4,4,17,27,385
4,4,15,27,386
4,4,18,27,386
4,0,14,29,386
4,0,15,765,386
4,0,16,29,386
4,0,18,29,386
4,0,15,29,386
8,0,16,25,386
8,0,17,25,384
8,0,14,25,384
8,0,18,25,386
8,0,19,25,386
8,4,17,26,385
8,4,15,765,385
8,4,17,26,387
8,4,14,26,387
8,4,16,26,388
8,8,13,22,388
8,8,18,22,387
8,8,15,22,387
8,8,18,22,388
8,8,15,22,388
8,12,14,26,386
8,12,14,765,386
8,12,14,26,385
8,12,14,26,385
8,12,15,26,386
8,16,15,23,386
8,16,14,23,384
8,16,16,23,384
8,16,13,23,386
8,16,16,23,386
8,20,14,34,386
8,20,17,35,386
8,20,14,34,385
8,20,17,34,385
8,20,14,34,385
8,24,15,23,385
8,24,17,23,385
8,24,13,23,385
8,24,14,23,384
8,24,15,23,384
8,28,13,22,384
8,28,13,765,384
8,28,11,22,384
8,28,10,22,384
8,28,11,22,383
8,32,12,34,383
8,32,11,34,382
8,32,14,34,382
8,32,13,34,383
8,32,13,34,383
8,36,14,22,382
8,36,8,765,382
8,36,14,22,380
8,36,16,22,380
8,36,13,22,381
